time_s,axis_1,axis_2,axis_3,axis_4,axis_5,axis_6,axis_7,axis_8
0.0,-1.588457728327572,-2.6461647895018734,-1.1736695554855991,-1.4955926116679856,-2.0476116299720917,-1.8908303384189327,-1.8047452599742153,-1.8505459020142427
1.0,-1.4779624002816873,-2.5237003087672187,-1.2519117800765636,-1.554050472377021,-1.9821754337122155,-1.926158310470025,-1.8876406616193264,-1.778034775465278
2.0,-1.0471645599397796,-2.2620454513980754,-1.0678995813326166,-1.3587542916899478,-2.0244900402550847,-2.035386434490319,-1.8290343425767213,-1.7653659385108467
3.0,-1.2403001660535862,-2.3446472200792283,-0.966188202644229,-1.4862742042891113,-2.2183559149325847,-1.997623563006882,-1.8524373056113028,-1.8059142791440028
4.0,-1.7970297485999056,-2.259362170565131,-1.0275640181331291,-1.5123166241018056,-2.2506144356066553,-1.9625422365352825,-1.8066316149560542,-1.8994768329825469
5.0,-2.0794707994987496,-2.4015213256452372,-1.362117407374848,-1.7375867362618331,-2.3394228298789304,-1.806956549525641,-1.8152068527274856,-1.919389459715146
6.0,-1.550936308566234,-2.3078322271609504,-1.6139392271754418,-1.6475651283662527,-2.2911036510154816,-1.9133769879215368,-1.7350680259172901,-1.8771737344342438
7.0,-1.4049810029644683,-2.3116921989823815,-1.6782983144778996,-1.6793026180923323,-2.319386848613687,-1.9713322873551962,-1.7241533464253722,-1.873748510602752
8.0,-1.700628993771485,-2.302262096650731,-1.4222920466226863,-1.6710679213184334,-2.391417221923596,-1.9459543410941758,-1.6423956439132517,-1.8412270291439239
9.0,-1.3699830862994131,-2.3163511685099487,-1.4381370839676098,-1.5652674552693187,-2.2348221421649668,-1.9142699779413965,-1.6832076977516666,-1.8787701517708864
10.0,-1.0315802489353354,-1.995234863132218,-1.2772872988026782,-1.4860500564748504,-2.249517346262828,-1.876699047083508,-1.67264202267813,-1.8031804899641932
11.0,-0.808541094022232,-2.3074486083507764,-1.2458653872236987,-1.4847838794144126,-2.186014511260496,-1.949296252658012,-1.6467666432791934,-1.854490250039842
12.0,-0.7331965561711913,-1.8109361702258533,-1.1125279307512888,-1.3111805260978062,-2.302685444386988,-1.9188534573565381,-1.8162435275533027,-1.9368493077994524
